2017.5,56,13
2005,42,12
2017,47,11
2015.5,19,10
2018.5,28,10
2017.5,41,14
2018.5,52,13
2008.5,28,6
2010,25,9
2014,30,10
2015,40,11
2016,44,12
2005,25,8
2009.5,26,10
2014,34,11
2016,44,12
2002,9,4
2008,19,8
2008,49,11
2017.5,40,13
2019.5,36,14
2015,33,9
2014,52,11
2009,32,9
2009.5,30,9
2018.5,60,14
2016,21,12
2018,30,8
2014.5,42,14
2019.5,58,12
2007,29,101
2015.5,32,8
2006,31,9
2017,56,13
2014,32,11
2014,25,8
2018.5,42,14
2018.5,67,14
2017,28,13
2018.5,27,11
2015,30,10
2014,47,11
2008,58,15
2008,28,10
2008,20,7
2011.5,41,12
2005,23,8
2013.5,34,11
2015,36,13
2006,26,8
2006,18,6
2014,37,10
2009,40,8
2009,34,8
2018,52,15
2002,30,8
2014,26,9
2007,73,76
2012.5,26,7
2017,37,12
2018,37,13
2009.5,30,8
2006,19,6
2006,29,9
2013.5,46,11
2019,71,12
2010,34,10
2015.5,53,13
2007,18,102
2007,32,72
2005,27,9
2007,19,108
2016,43,11
2017,26,10
2014.5,23,11
2012,28,7
2013.5,32,9
2014,51,10
2014.5,24,11
2007,29,25
2014.5,66,10
2018.5,38,13
2010,36,10
2014,32,10
2007,31,49
2015,33,10
2007,21,11
2017.5,60,12
2010.5,11,10
2008.5,36,10
2017.5,34,14
2012,33,8
2014,25,9
2015,43,11
2017,49,13
2018.5,76,14
2010,19,6
2015.5,43,12
2011.5,32,8
2019.5,56,15
2010,22,10
2010.5,32,12
2007,25,92
2005,32,9
2016,2,8
2019.5,55,16
2007,14,12
2006,26,10
2012,45,8
2015,45,12
2009.5,27,9
2014.5,50,12
2018,27,11
2007,21,93
2018,71,16
2015.5,32,9
2010.5,26,10
2011.5,41,10
2017,48,10
2017.5,50,12
2016,25,11
2018,44,13
2006,40,9
2014,25,11
2018,62,14
2008,46,8
2005,28,10
2017,41,13
2014.5,46,9
2018.5,35,14
2006,43,9
2015,76,11
2018.5,48,12
2006,28,10
2010,31,10
2010,48,12
2019.5,31,15
2007,47,33
2009.5,23,10
2002,37,8
2012,37,8
2008.5,25,8
2016,41,12
2010.5,34,8
2006,36,9
2012.5,35,9
2010.5,39,12
2019,50,12
2015,44,10
2013.5,46,11
2013.5,29,12
2018,52,11
2008,44,11
2019,47,13
2006,25,6
2018.5,23,10
2018,40,12
2019,40,12
2018.5,48,15
2015,38,11
2006,34,8
2011.5,17,8
2019.5,43,12
2009,35,12
2009.5,48,8
2016,20,11
2010,35,9
2015,59,12
2008.5,27,9
2015,60,11
2015.5,16,10
2018.5,47,11
2017,48,13
2016,28,10
2017,38,15
2009,23,12
2008,32,9
2007,30,83
2007,17,37
2016,44,11
2014.5,37,10
2005,35,8
2008,36,11
2015,49,9
2008,30,7
2016,22,9
2013.5,34,10
2010,54,11
2007,31,10
2017.5,19,13
2014,47,14
2010,48,10
2008.5,28,9
2017.5,62,12
2017.5,58,15
2009,24,8
2009.5,39,7
2015,35,10
2002,35,10
2014.5,30,11
2002,29,4
2005,34,8
2011.5,9,8
2012,36,10
2013.5,53,11
2017,61,15
2015.5,55,12
2010.5,36,8
2017.5,28,8
2010,28,10
2005,29,6
2014,31,11
2014,35,12
2016,41,11
2015,32,11
2014,23,10
2009,58,12
2018,48,14
2017,55,13
2018.5,49,15
2017,47,11
2019,92,15
2012.5,32,10
2012,37,8
2012,44,13
2019.5,66,16
2005,27,8
2019,75,14
2018.5,45,10
2012.5,38,11
2015.5,42,13
2017,57,16
2016,48,14
2009,39,9
2011.5,33,12
2017,24,10
2009.5,22,8
2017,48,12
2017.5,33,12
2015,32,10
2016,50,14
2012,45,12
2016,58,10
2006,41,11
2013.5,34,10
2011.5,44,10
2016,47,14
2018,40,12
2016,62,12
2012.5,20,9
2002,6,2
2006,35,10
2019,46,15
2017.5,68,15
2019.5,36,11
2014.5,52,14
2009,36,11
2019,54,13
2011.5,21,12
2013.5,27,11
2015,35,12
2014,46,11
2012.5,38,10
2012,36,9
2011.5,48,12
2014,51,12
2009.5,39,9
2002,30,8
2016,41,12
2015,52,10
2012.5,33,10
2014,40,9
2012,32,10
2018.5,60,12
2015,47,12
2009,34,8
2002,43,8
2015,28,11
2018.5,36,10
2012.5,33,10
2008,53,10
2012,32,8
2017.5,57,14
2012.5,27,8
2019,36,12
2018,33,10
2012.5,37,10
2014,52,11
2013.5,46,12
2017,51,12
2016,40,11
2016,35,13
2014,33,11
2015.5,54,14
2015,41,12
2008,29,11
2010.5,31,10
2002,48,9
2009,30,9
2012,39,10
2018,48,12
2007,29,103
2012.5,39,11
2009.5,28,8
2007,44,91
2002,26,8
2019,56,13
2014,54,11
2012,37,8
2012,38,10
2019,58,15
2018,55,15
2005,29,10
2015.5,43,15
2014.5,38,11
2019.5,45,12
2012.5,26,8
2017,43,14
2002,41,10
2018.5,36,14
2009,30,11
2019.5,32,13
2017,42,14
2009,55,10
2005,65,9
2018.5,58,12
2017,33,12
2019,37,14
2018.5,72,15
2002,10,4
2012,29,8
2014.5,41,11
2010.5,11,8
2009,30,8
2019,50,12
2017,54,11
2015.5,42,16
2017,33,12
2006,39,10
2002,33,10
2015,48,9
2016,40,12
2018,43,12
2006,32,10
2018.5,29,10
2006,25,10
2017.5,60,17
2017.5,64,13
2013.5,32,7
2015.5,35,11
2017,39,13
2012.5,23,10
2014,43,10
2017,36,12
2010,23,10
2018,52,13
2016,33,10
2012,31,10
2015,30,13
2012,56,11
2007,31,5
2018,53,14
2012,31,10
2015,25,12
2012,33,9
2014,38,13
2007,36,48
2006,34,11
2017,63,14
2010.5,40,8
2007,35,34
2008.5,59,11
2010,34,8
2016,22,8
2015,41,11
2019,63,13
2006,38,9
2018.5,62,12
2007,26,82
2019.5,78,12
2018.5,43,13
2011.5,32,10
2002,40,11
2010,37,10
2010,40,8
2015,38,12
2019,69,13
2019,61,13
2013.5,28,12
2014,39,14
2017,49,14
2014.5,38,10
2015.5,23,11
2012,53,11
2009,28,12
2017.5,47,9
2010,49,10
2017,31,15
2008,24,8
2015,38,8
2017,50,12
2002,29,8
2010,39,7
2014.5,47,13
2002,19,6
2007,29,54
2019.5,52,15
2015,47,14
2018.5,63,14
2010,29,8
2018.5,25,14
2008.5,32,10
2019.5,51,12
2015,43,10
2014,35,11
2019.5,52,16
2015,41,9
2016,29,11
2013.5,29,8
2007,38,105
2018,41,13
2016,49,11
2012.5,19,10
2019,83,13
2019.5,50,14
2015.5,26,12
2019,42,14
2016,56,18
2019,52,10
2018.5,39,10
2006,39,9
2012,25,11
2015.5,40,14
2015,33,9
2017.5,34,13
2010.5,43,10
2005,35,10
2014,37,13
2016,37,11
2019,50,14
2016,36,12
2009,28,11
2010.5,45,10
2005,31,10
2016,46,11
2010.5,41,10
2019,55,15
2015.5,45,11
2008,32,10
2017,35,12
2019,76,14
2007,28,75
2009.5,26,7
2014,31,13
2017.5,50,13
2019,68,13
2008,27,10
2018,39,13
2010,29,6
2013.5,40,10
2002,51,8
2019.5,53,13
2009.5,33,12
2014,42,13
2013.5,31,10
2019.5,70,14
2010.5,33,8
2008.5,43,10
2018.5,48,14
2007,19,45
2014,34,12
2009,27,11
2011.5,31,10
2012,25,8
2019,56,14
2018,49,11
2017,37,14
2009,45,8
2009.5,13,8
2019.5,42,13
2006,38,10
2017,32,9
2005,11,9
2014.5,24,10
2009,35,9
2018,41,14
2009,26,8
2015.5,43,13
2009,34,9
2016,32,13
2018,54,14
2005,38,5
2007,12,30
2011.5,31,12
2008,25,8
2009,27,8
2014,32,11
2014,34,11
2016,58,12
2002,26,6
2010.5,29,10
2015.5,20,12
2011.5,27,10
2018.5,49,17
2012,36,8
2006,27,12
2012,38,9
2009,28,8
2012,32,10
2006,27,8
2012,37,7
2015,33,11
2013.5,50,13
2017,114,14
2016,54,13
2015.5,47,14
2018,32,13
2018,37,10
2013.5,62,12
2014,45,9
2012.5,25,6
2016,60,12
2012.5,30,10
2017,49,13
2011.5,34,8
2015,54,14
2017,40,11
2011.5,29,10
2008,31,10
2010.5,35,10
2014.5,30,11
2006,37,9
2006,43,9
2015.5,37,11
2019,42,12
2014,29,11
2009.5,32,7
2013.5,48,12
2018.5,36,15
2017,18,8
2015,43,11
2009,32,10
2016,38,15
2019,42,12
2019,60,13
2016,21,11
2011.5,35,10
2014.5,31,9
2009.5,35,10
2005,16,6
2016,21,11
2012,49,11
2017.5,64,10
2015,20,10
2007,25,42
2019,59,15
2015.5,42,13
2011.5,30,12
2017,16,11
2019.5,60,15
2017.5,51,12
2002,22,8
2008,29,7
2012.5,48,10
2007,31,55
2016,29,12
2009,32,8
2011.5,37,10
2007,11,78
2014.5,48,9
2018,38,10
2015,54,12
2015.5,44,13
2009,24,10
2015,33,12
2014,30,11
2012,31,10
2018.5,56,14
2015,42,12
2013.5,32,10
2010,52,10
2010.5,27,10
2005,26,9
2007,28,29
2009.5,38,9
2009,41,9
2014.5,35,14
2007,28,58
2008.5,21,7
2014,32,8
2008,18,9
2019,71,13
2017,37,10
2018.5,63,12
2007,47,59
2008,41,9
2015,37,13
2018,51,13
2018.5,32,12
2011.5,24,12
2018.5,44,14
2009,37,6
2007,12,9
2017,47,13
2012,42,10
2007,40,40
2007,22,68
2012,42,11
2013.5,40,8
2012,33,11
2019,53,12
2009,28,8
2014.5,32,10
2019.5,38,13
2014,26,9
2005,28,8
2017,53,14
2014,43,11
2012,40,10
2013.5,19,8
2010,44,8
2007,25,4
2010.5,32,8
2019,58,12
2017,24,7
2018.5,40,14
2009,27,13
2012,35,11
2010.5,47,12
2018.5,35,9
2006,31,8
2016,45,11
2010,33,9
2015.5,28,11
2010,27,7
2014,42,8
2012,25,5
2013.5,26,10
2016,24,12
2019,82,13
2011.5,27,10
2012.5,26,6
2007,43,47
2005,34,6
2016,29,15
2012,42,9
2015,59,10
2010,34,10
2017,56,12
2012,29,9
2018,29,13
2018,36,13
2012,38,11
2018,51,14
2017,51,13
2015,44,10
2012,25,7
2005,29,7
2009.5,30,9
2008,40,9
2017,46,11
2019,49,11
2016,51,14
2009.5,38,7
2006,36,10
2008.5,30,9
2011.5,24,12
2010.5,24,8
2014,35,12
2010,28,10
2018,39,14
2018,24,13
2018.5,44,14
2011.5,30,10
2015.5,47,12
2008.5,35,10
2016,52,12
2011.5,49,12
2005,28,12
2017,42,12
2015.5,50,12
2013.5,25,11
2014,41,12
2008,24,8
2007,29,35
2011.5,29,10
2005,42,10
2014.5,38,12
2019,42,11
2005,44,8
2018,32,10
2017,85,14
2005,44,9
2008.5,26,8
2019,54,16
2018,64,15
2010,23,8
2002,22,8
2018.5,48,14
2017,50,15
2017,47,12
2017,29,12
2015.5,17,7
2006,25,6
2016,58,11
2017,41,12
2018,29,10
2017.5,46,12
2010,33,10
2019,49,13
2018,47,14
2008,22,5
2017.5,39,13
2010,41,9
2010.5,36,10
2018.5,56,16
2002,42,11
2017.5,36,9
2005,53,11
2005,40,8
2018.5,63,13
2013.5,25,12
2014.5,37,11
2017.5,56,14
2005,41,8
2018,48,17
2019,58,13
2008.5,39,10
2008,26,9
2015,25,10
2007,51,90
2017.5,27,11
2012.5,28,11
2016,41,9
2014.5,41,10
2005,31,8
2010.5,42,8
2012,22,7
2014.5,54,13
2013.5,32,11
2012,41,10
2017.5,45,13
2017.5,58,13
2018.5,64,14
2013.5,24,8
2009.5,32,8
2009.5,34,12
2008,24,10
2010,19,8
2018,34,12
2005,18,6
2018,31,15
2015,35,10
2015.5,50,9
2017,63,17
2007,15,22
2008,33,9
2010,62,13
2010,26,10
2002,21,8
2019,72,18
2010,39,10
2017,44,11
2018.5,41,11
2017.5,41,15
2005,38,9
2015,58,12
2017,66,12
2005,25,9
2005,38,10
2014.5,36,11
2015,64,10
2014.5,27,11
2016,30,11
2002,36,8
2017,58,13
2017.5,44,16
2012,34,10
2005,21,4
2017,23,10
2007,25,7
2013.5,41,11
2014,60,12
2017,70,11
2019.5,54,16
2014,52,13
2017,46,13
2017,62,14
2013.5,29,12
2015,52,9
2014,33,12
2008,17,10
2010,34,8
2009.5,27,8
2014,36,11
2018,48,11
2014,41,11
2002,28,10
2006,29,8
2019.5,74,10
2014,45,10
2010.5,43,12
2009.5,50,10
2010,25,7
2015,61,11
2016,62,12
2014,28,9
2019,61,13
2019.5,60,17
2007,40,56
2015.5,34,10
2012.5,29,11
2012.5,32,8
2016,32,15
2009.5,17,7
2017,49,12
2018,61,13
2006,15,6
2007,31,84
2009,23,5
2009,25,8
2016,40,10
2017,43,14
2017.5,95,14
2014.5,35,8
2012.5,35,12
2010,21,6
2018.5,59,15
2012,47,10
2012.5,23,10
2012,37,12
2009.5,20,6
2011.5,45,10
2005,19,9
2008,23,9
2006,22,6
2018,50,13
2018,86,14
2006,32,8
2002,17,8
2010.5,19,10
2009.5,30,10
2009,56,10
2017,56,13
2014,41,7
2009,13,9
2012.5,39,7
2006,16,8
2010,47,12
2005,30,10
2010.5,14,12
2019.5,48,12
2015.5,49,11
2017,28,12
2019,33,12
2018,71,11
2018.5,42,16
2012,23,11
2014.5,30,11
2019,60,15
2016,18,8
2019,36,16
2010,45,9
2018,52,11
2014,30,14
2006,48,7
2018,37,13
2008.5,25,4
2017,37,11
2016,38,13
2018,107,16
2019,63,14
2005,37,9
2015,42,9
2017.5,38,11
2017.5,38,14
2018,33,15
2010.5,23,8
2008.5,37,9
2018,53,15
2008,49,8
2019.5,49,11
2018,35,14
2016,48,14
2018.5,24,11
2018,38,15
2013.5,42,10
2008,28,12
2015.5,47,11
2010.5,29,8
2013.5,32,7
2019,90,18
2013.5,47,10
2006,22,7
2018.5,24,11
2015,31,10
2014,54,12
2019.5,79,14
2002,32,8
2006,34,10
2014,40,11
2019.5,63,13
2015.5,36,10
2008,30,8
2018.5,66,15
2019,110,17
2014.5,24,11
2008,27,10
2016,59,11
2008,32,11
2015,43,13
2005,48,11
2015.5,40,12
2005,22,6
2012,27,10
2006,25,6
2009,51,10
2008,29,4
2019.5,150,20
2007,36,26
2002,21,7
2012.5,44,9
2010,27,7
2010,28,11
2018.5,19,14
2019.5,75,14
2013.5,30,11
2010.5,45,10
2015.5,44,11
2006,43,10
2006,21,7
2007,37,27
2014,49,12
2019.5,65,13
2018,56,17
2002,33,8
2010,25,10
2017.5,44,13
2009,28,8
2013.5,41,13
2005,29,8
2012.5,22,8
2009,23,9
2019.5,40,13
2019.5,62,12
2018.5,37,13
2014,39,11
2015,30,11
2014,47,12
2014,37,10
2008.5,19,9
2015,47,14
2016,17,9
2005,30,9
2008.5,30,10
2016,38,11
2006,21,8
2008,28,9
2016,30,13
2015.5,52,10
2018,39,13
2007,29,43
2006,30,10
2011.5,37,10
2008,28,9
2010.5,18,10
2015.5,35,10
2018,43,13
2017,49,12
2012.5,31,11
2015,65,12
2008.5,12,8
2008.5,38,9
2018,68,12
2018,48,12
2009,46,10
2014,33,12
2008,31,10
2019.5,42,17
2016,41,12
2010,29,8
2010,39,11
2012,46,12
2006,47,10
2016,33,8
2008.5,39,9
2009.5,25,8
2015.5,60,13
2015.5,38,9
2018.5,34,13
2018.5,23,14
2018,57,14
2017,69,16
2006,41,8
2017.5,53,11
2010,31,8
2017,48,13
2002,26,10
2019,45,11
2012.5,40,11
2015,34,11
2015,24,9
2013.5,20,12
2014.5,39,12
2008,38,9
2017,44,14
2011.5,48,12
2002,48,10
2012,18,10
2016,17,11
2017.5,50,12
2018,51,12
2018,43,13
2014,31,10
2015,37,13
2018.5,66,14
2014,35,11
2010.5,18,6
2015.5,25,12
2009,18,11
2002,20,7
2012.5,41,11
2008,43,10
2005,25,9
2008,30,9
2017.5,49,15
2010,37,9
2012.5,31,9
2018,31,13
2018.5,34,15
2011.5,24,10
2018.5,77,13
2018,50,15
2014.5,32,11
2012.5,36,9
2017.5,58,11
2017.5,59,15
2017,30,14
2018,31,12
2005,27,7
2005,42,8
2016,47,11
2009,22,11
2015.5,38,13
2016,15,8
2019.5,60,13
2014,36,9
2008,45,12
2007,42,85
2015.5,32,13
2018.5,51,14
2015,34,12
2019.5,78,19
2005,52,8
2013.5,35,10
2006,30,9
2014,34,11
2005,25,8
2014.5,23,10
2018,54,12
2005,41,8
2016,49,14
2019,56,14
2006,19,6
2005,31,10
2007,29,21
2019,60,14
2018,30,10
2008,26,9
2014.5,52,12
2012,35,11
2009.5,21,9
2010,34,10
2018.5,39,15
2008.5,43,12
2007,47,41
2017.5,49,15
2009.5,38,10
2010,27,10
2018,80,16
2015,47,10
2013.5,22,8
2015,22,11
2013.5,39,10
2019,21,16
2012.5,23,11
2005,28,8
2015,36,9
2015.5,58,13
2017,52,10
2015.5,39,10
2019,43,12
2018.5,49,12
2012,34,10
2008,11,4
2019,75,14
2002,14,4
2016,46,12
2010,25,8
2019.5,49,14
2009.5,26,10
2012.5,33,9
2007,40,51
2017.5,34,13
2018,40,14
2012,18,10
2007,18,86
2014.5,42,11
2014,40,13
2009.5,29,10
2005,21,5
2006,52,8
2018.5,39,13
2015,35,11
2012,25,9
2018,60,11
2014,40,11
2013.5,49,11
2007,32,81
2014,30,11
2019.5,51,10
2019.5,36,14
2018.5,77,13
2010,33,9
2013.5,41,11
2018.5,37,15
2009,33,9
2011.5,24,10
2013.5,43,14
2010,63,10
2018,36,14
